brand,model,years,curb_weight_kg,notes
"GMC","Yukon Denali (6.2 V8 4WD)","2021–наст.","2840","Топ-версия, максимальное оснащение. Масса: 2,750–2,840 кг"
"GMC","Yukon XL (5.3 V8 4WD)","2021–наст.","2700","Удлинённая версия, 5.3 V8 (355 л.с.). Масса: 2,600–2,700 кг"
"GMC","Yukon XL Denali (6.2 V8 4WD)","2021–наст.","2940","Удлинённая топ-версия, 6.2 V8 (420 л.с.). Масса: 2,850–2,940 кг"
"GMC","Terrain (1.5 Turbo FWD)","2018–наст.","1590","Компактный кроссовер, 1.5T (170 л.с.). Масса: 1,520–1,590 кг"
"GMC","Terrain (2.0 Turbo AWD)","2018–наст.","1750","Кроссовер, 2.0T (252 л.с.), полный привод. Масса: 1,680–1,750 кг"
"GMC","Acadia (2.0 Turbo FWD)","2024–наст.","2030","Среднеразмерный кроссовер нового поколения. Масса: 1,930–2,030 кг"
"GMC","Acadia (2.5 Turbo AWD Denali)","2024–наст.","2200","Топ-версия, 2.5T (328 л.с.), полный привод. Масса: 2,120–2,200 кг"
"GMC","Hummer EV Pickup (Edition 1 3 мотора)","2022–наст.","4103","Электрический пикап, 1,014 л.с., батарея 205 кВт·ч, запас хода 529 км"
"GMC","Hummer EV SUV (3X 3 мотора)","2023–наст.","3900","Электрический внедорожник, 1,014 л.с., батарея 205 кВт·ч"
"GMC","Sierra EV Denali Edition 1","2024–наст.","3800","Электрический пикап, 754 л.с., батарея 200 кВт·ч, запас хода 708 км"
"GMC","Syclone","1991","1565","Спортивный пикап, 4.3 V6 Turbo (280 л.с.), разгон 0-100 за 4.6 с"
"GMC","Typhoon","1992–1993","1750","Спортивный внедорожник на базе Jimmy, 4.3 V6 Turbo (280 л.с.)"
"GMC","Jimmy (двухдверный 4.3 V6)","1983–2005","1650","Классический рамный внедорожник, предшественник Yukon"
"GMC","Envoy (4.2 I6 2WD)","2002–2009","2020","Среднеразмерный внедорожник на платформе GMT360"
"GMC","Envoy XL (5.3 V8 4WD)","2002–2009","2300","Удлинённая версия Envoy с тремя рядами сидений"
"GMC","Safari (4.3 V6 AWD)","1985–2005","1950","Популярный минивэн и коммерческий фургон"
"GMC","Savana 2500 (6.0 V8)","1996–наст.","2450","Полноразмерный фургон для коммерческих перевозок и автодомов"
"Great Wall","Haval H6 (1.5T, FWD)","2020–наст.","1520","Компактный кроссовер, 1.5T (150 л.с.), 7-ст. DCT. Масса: 1,520–1,725 кг."
"Great Wall","Haval H6 (2.0T, AWD)","2020–наст.","1725","Компактный кроссовер, 2.0T (197 л.с.), 7-ст. DCT, полный привод."
"Great Wall","Haval Jolion (1.5T, FWD)","2021–наст.","1345","Компактный кроссовер, 1.5T (150 л.с.), 7-ст. DCT. Масса: 1,345–1,625 кг."
"Great Wall","Haval Dargo (1.5T, FWD)","2021–наст.","1560","Среднеразмерный кроссовер, 1.5T (169 л.с.), 7-ст. DCT."
"Great Wall","Haval Dargo (2.0T, AWD)","2021–наст.","1740","Среднеразмерный кроссовер, 2.0T (211 л.с.), полный привод."
"Great Wall","Haval Dargo II (2.0T, AWD)","2024–наст.","1840","Второе поколение Dargo, 2.0T (238 л.с.), полный привод."
"Great Wall","Haval H9 (II поколение, 2.0T)","2024–наст.","2200","Флагманский рамный внедорожник, 2.0T (224 л.с.), 8-ст. АКПП."
"Great Wall","Haval H9 Warrior Edition","2025–наст.","2350","Внедорожная версия H9 с усиленной защитой."
"Great Wall","Haval H5 (2.0D, 4WD)","2010–2024","1725","Классический рамный внедорожник, 2.0D (150 л.с.), полный привод."
"Great Wall","Tank 300 (2.0T, бензин)","2020–наст.","2155","Рамный внедорожник, 2.0T (227 л.с.), 8-ст. АКПП. Масса: 2,155–2,313 кг."
"Great Wall","Tank 300 (2.4D, дизель)","2023–наст.","2280","Рамный внедорожник, 2.4D (186 л.с.), 9-ст. АКПП."
"Great Wall","Tank 400 (Hi4-T, PHEV)","2023–наст.","2455","Внедорожник, 2.0T + электромотор (408 л.с.), PHEV."
"Great Wall","Tank 500 (V6, 4WD)","2021–наст.","2535","Полноразмерный люксовый внедорожник, 3.0T V6 (354 л.с.), 9-ст. АКПП. Масса: 2,455–2,535 кг."
"Great Wall","Tank 700 (Hi4-T, PHEV)","2024–наст.","3110","Флагманский внедорожник, 3.0T V6 + электромотор (516 л.с.), PHEV."
"Great Wall","Poer / Cannon (2.0T, дизель)","2019–наст.","2050","Среднеразмерный пикап, 2.0D (163 л.с.), 8-ст. АКПП."
"Great Wall","Poer King Kong (2.0T, бензин)","2022–наст.","1900","Коммерческий пикап, 2.0T (197 л.с.)."
"Great Wall","Poer Sahar (2.0T, 4WD)","2023–наст.","2095","Роскошный пикап, 2.0T (218 л.с.), 8-ст. АКПП, полный привод."
"Great Wall","Wingle 7 (2.0D, 4WD)","2018–наст.","1695","Бюджетный пикап, 2.0D (143 л.с.), 6-ст. МКПП. Масса: 1,695–1,992 кг."
"Great Wall","Ora R1 / Black Cat","2019–2022","977","Городской электромобиль (А-сегмент), 48 л.с., запас хода 301 км (NEDC)."
"Great Wall","Ora Good Cat / 03","2021–наст.","1510","Электрический хэтчбек, 140–171 л.с., запас хода 420 км. Масса: 1,510–1,550 кг."
"Great Wall","Ora Lightning Cat / 07","2022–наст.","2183","Электрический седан D-класса, 408 л.с., AWD, запас хода 640 км."
"Great Wall","Ora iQ","2018–2022","1395","Электрический седан, 160 л.с., запас хода 401 км."
"Great Wall","Sailor","2001–2010","1640","Пикап, предшественник Wingle. Масса: 1,640–1,760 кг."
"Great Wall","Safe","2002–2009","1720","Рамный внедорожник, предшественник Haval H3/H5."
"Great Wall","Haval H2","2014–2021","1495","Субкомпактный кроссовер, предшественник Jolion. Масса: 1,495–1,575 кг."
"Great Wall","Haval H7","2015–2023","1900","Среднеразмерный кроссовер, снят с производства."
"Great Wall","Haval F7","2018–2024","1700","Спортивный кроссовер, ориентированный на экспорт."
"Great Wall","Voleex C30","2010–2016","1125","Компактный седан. Масса: 1,125–1,160 кг."
"Great Wall","Peri / Florid","2008–2013","980","Субкомпактный хэтчбек, предшественник Ora R1."
"Haima","8S (1.6T, 6MT)","2019–наст.","1545","Компактный кроссовер на платформе HMGA, 1.6T (195 л.с.), 6-ст. МКПП"
"Haima","8S (1.6T, 7DCT)","2019–наст.","1560","Компактный кроссовер, 1.6T (195 л.с.), 7-ст. DCT"
"Haima","S5 (I поколение)","2014–2017","1380","Компактный кроссовер, 1.6L (118 л.с.) или 1.5T (150 л.с.), масса от 1380 до 1460 кг"
"Haima","S5 (II поколение, 1.5T CVT Deluxe)","2018–наст.","1435","Компактный кроссовер, 1.5T (150 л.с.), вариатор"
"Haima","6P (PHEV)","2021–2022","1720","Подзаряжаемый гибридный кроссовер на базе S5, 1.2T + э/м (252 л.с.)"
"Haima","S7 (2.0 MT Deluxe)","2010–2018","1435","Среднеразмерный кроссовер, 2.0L (150 л.с.), 5-ст. МКПП"
"Haima","7X","2020–наст.","1670","Минивэн, дизайн Pininfarina, 1.6T (195 л.с.), 6-ст. АКПП, масса от 1670 до 2195 кг"
"Haima","7X-E (электрический)","2023–наст.","1920","Электрический минивэн, 204 л.с., батарея 73.7 кВт·ч, запас хода 510 км"
"Haima","F7 / V70","2016–2018","1600","Компактный минивэн (MPV), 1.5T или 2.0L"
"Haima","M3 (1.5L MT)","2013–2017","1055","Компактный седан C-класса, 1.5L (112 л.с.), 5-ст. МКПП"
"Haima","M3 (1.5L CVT)","2013–2017","1210","Компактный седан, 1.5L (112 л.с.), вариатор"
"Haima","3 (седан)","2010–2013","1284","Седан C-класса, 1.8L (112 л.с.), 5-ст. МКПП"
"Haima","3 (хэтчбек)","2010–2013","1294","Хэтчбек C-класса, 1.8L (112 л.с.)"
"Haima","2 (1.3 MT)","2009–2015","1055","Субкомпактный хэтчбек B-класса, 1.3L или 1.5L"
"Haval","H6 (III поколение, 1.5T)","2020–наст.","1510","Компактный кроссовер, 1.5T (150 л.с.), 7-ст. DCT. Масса варьируется до 1725 кг (2.0T AWD)"
"Haval","H6 (III поколение, PHEV)","2023–наст.","2000","Подзаряжаемый гибрид, 1.5T + электромотор (240 л.с.), запас хода на электротяге до 110 км"
"Haval","Jolion (1.5T, FWD)","2021–наст.","1380","Компактный кроссовер, 1.5T (150 л.с.), 7-ст. DCT. Масса варьируется от 1380 до 1570 кг"
"Haval","Jolion (1.5T, AWD)","2022–наст.","1485","Полноприводная версия Jolion, 1.5T (150 л.с.), 7-ст. DCT"
"Haval","Dargo (1.5T, FWD)","2021–наст.","1560","Среднеразмерный кроссовер, 1.5T (169 л.с.), 7-ст. DCT"
"Haval","Dargo (2.0T, AWD)","2021–наст.","1740","Среднеразмерный кроссовер, 2.0T (211 л.с.), 8-ст. АКПП, полный привод"
"Haval","Dargo II (2.0T, AWD)","2024–наст.","1840","Второе поколение Dargo, 2.0T (238 л.с.), полный привод"
"Haval","H9 (II поколение, 2.0T)","2024–наст.","2330","Флагманский рамный внедорожник, 2.0T (224 л.с.), 8-ст. АКПП"
"Haval","H9 Warrior Edition","2025–наст.","2380","Внедорожная версия H9 с усиленной защитой"
"Haval","Raptor (Hi4, PHEV)","2023–наст.","2055","Подзаряжаемый гибрид, 1.5T + 2 э/м (378 л.с.), запас хода на электротяге 102 км"
"Haval","Xiaolong","2023–наст.","1540","Компактный кроссовер на платформе L.E.M.O.N., 1.5T (150 л.с.)"
"Haval","Kugou","2022–наст.","1430","Стильный городской кроссовер, 1.5T (150 л.с.)"
"Haval","Chitu","2021–наст.","1500","Компактный спортивный кроссовер, 1.5T (150 л.с.)"
"Haval","H6 (II поколение, 1.5T)","2017–2021","1525","Предыдущее поколение бестселлера, 1.5T (150 л.с.), 7-ст. DCT"
"Haval","H6 Coupe","2015–2021","1650","Купеобразная версия H6, 2.0T (197 л.с.)"
"Haval","H2","2014–2021","1495","Субкомпактный кроссовер, предшественник Jolion, 1.5T (150 л.с.)"
